molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logS
7;12-dimethylbenz(a)anthracene,7,0,0,0,0,0,0,1,256.346,0.156,496.473,128.217,0,368.257,0,867.539,0,0,0.0000281,0,0.8860571,32.082,8.983,10.225,3.349,5.8,-7.02,-6.846,-5.132,9906.038,0.449,5899.293,-0.222,7.843,1.189,3,1.136,1,100,0,0,0,0,1,18,0,18,0,20,-7.02
chlordane(-)trans,7,0,0,0,0,0,2,1,409.781,2.387,481.189,67.823,0,0,413.366,850.366,0,0,0.0066981,0,0.9020976,27.878,9.235,10.339,1.022,6.61,-6.86,-6.667,-3.116,9906.038,0.328,10000,-1.52,9.868,0.508,0,1.087,1,100,0,0,0,0,1,10,0,10,8,18,-6.86
taxol,0,0,0,0,0,6,0,-1,384.469,7.256,518.898,377.004,141.595,0.298,0,1022.504,5,9.3,0.0514943,0.0400762,0.9459316,30.917,10.294,22.941,17.093,0.735,-2.202,-3.794,-2.408,449.938,-0.853,208.665,-3.552,9.736,-0.069,6,-0.342,3,58.134,0,0,106.369,7,1,17,4,10,14,27,-6.63
4;4'-dichlorobiphenyl,7,0,0,0,0,1,0,1,223.101,0,434.012,0,0,290.77,143.242,701.853,0,0,0,0,0.8800221,24.069,7.739,7.924,2.571,4.859,-6.56,-5.982,-4.86,9906.038,0.192,10000,-0.399,8.954,0.693,0,0.613,2,100,0,0,0,0,1,12,0,12,0,14,-6.56
o;p-DDD(53-19-0),7,0,0,0,0,2,0,1,320.045,3.527,502.869,14.362,0,264.688,223.819,867.76,0,0,0.0143346,0,0.8749363,29.817,9.77,10.473,2.367,6.692,-6.51,-6.848,-4.818,9906.038,0.221,10000,-0.395,9.429,0.353,2,1.052,1,100,0,0,0,0,1,12,0,12,0,18,-6.51
Anthracene,6,0,0,0,0,0,0,1,178.233,0,404.487,0,0,404.487,0,656.572,0,0,0,0,0.9031952,23.985,7.246,7.45,3.344,4.45,-6.35,-5.72,-5.027,9906.038,0.192,5899.293,-0.095,7.915,1.27,1,0.524,3,100,0,0,0,0,0,14,0,14,0,14,-6.35
dialifos10311-84-9,2,0,0,0,0,7,3,0,393.839,8.419,635.889,283.954,81.565,171.935,98.435,1126.532,0,4.5,0.0629178,0,0.8234033,36.077,11.152,15.123,5.897,4.69,-6.34,-6.603,-5.209,1668.853,-0.419,2978.407,-1.745,8.973,2.286,0,0.387,3,91.972,0,0,71.627,5,0,9,0,9,0,23,-6.34
tipranivir174484-41-4,4,0,0,0,0,12,1,-2,602.667,5.268,950.614,279.414,167.471,386.647,117.082,1755.589,2,9.25,0.0158054,0.0137611,0.7403596,60.092,18.601,28.852,15.21,5.995,-8.517,-9.355,-7.577,255.724,-1.909,496.131,-2.092,8.921,1.83,6,0.958,1,62.829,117.037,0,113.079,7,2,24,0,24,2,42,-6.3
rotenone,0,0,0,0,0,3,0,1,394.423,4.099,667.935,433.741,33.756,200.437,0,1193.164,0,5.75,0.0140823,0,0.8145119,41.584,10.958,16.495,7.922,4.1,-6.29,-6.001,-5.489,4740.11,0.043,2659.484,-1.148,8.536,0.511,6,0.416,3,100,0,0,62.155,6,0,21,0,21,5,29,-6.29
pyrene,5,0,0,0,0,0,0,1,202.255,0.001,415.132,0,0,415.132,0,691.267,0,0,0,0,0.9107705,25.475,7.743,8.011,3.294,4.88,-6.19,-6.222,-4.956,9906.038,0.192,5899.293,-0.057,7.92,1.3,1,0.625,1,100,0,0,0,0,0,16,0,16,0,16,-6.19
terfenadine50679-08-8,3,1,0,0,0,11,0,1,471.681,2.598,878.326,394.739,59.077,424.51,0,1630.953,2,4.45,0.0041391,0.0071651,0.7629047,56.108,17.479,23.771,10.008,7.048,-6.69,-7.039,-8.119,680.1,-0.378,360.795,-2.119,9.032,0.006,5,1.636,1,84.321,0,0,40.353,3,1,24,0,24,5,35,-6.17
fluoranthene206-44-0,6,0,0,0,0,0,0,1,202.255,0.808,418.634,0,0,418.634,0,696.094,0,0,0.0009377,0,0.9073516,25.702,7.788,8.102,3.39,5.16,-6,-6.292,-5.028,9906.038,0.192,5899.293,-0.045,8.394,1.442,0,0.639,1,100,0,0,0,0,0,16,0,16,0,16,-6
Bifonazole,1,0,0,0,0,4,0,1,310.398,5.928,613.95,8.813,32.785,572.352,0,1070.968,0,2,0.0328166,0,0.8245483,39.604,12.403,14.603,6.401,4.77,-5.95,-5.768,-7.101,4841.726,0.001,2721.16,0.277,9.223,0.708,2,1.022,2,100,0,0,15.703,2,1,23,0,23,0,24,-5.95
felodipine,1,0,0,0,0,3,2,0,384.258,12.302,646.155,366.772,67.338,109.278,102.768,1149.27,0,3.5,0.1316733,0,0.8211888,38.957,10.857,16.515,5.297,3.86,-6.589,-6.859,-4.946,2276.87,-0.031,4400.998,-2.088,8.303,0.716,5,0.891,1,93.966,0,0,75.041,5,1,12,0,12,1,25,-5.89
nonane,10,0,0,0,0,6,0,2,128.257,0.018,433.31,433.31,0,0,0,681.088,0,0,0.0000005,0,0.863976,17.251,4.339,4.145,-2.139,5.602,-5.88,-5.764,-3.733,9906.038,1.06,5899.293,1.451,11.366,-3.06,0,0.34,2,100,0,0,0,0,1,0,0,0,0,9,-5.88
thioridazine,2,1,0,0,0,4,0,2,370.57,3.231,674.317,347.26,4.988,246.837,75.233,1207.412,0,3,0.0086451,0,0.8132128,41.956,11.748,15.337,5.154,5.9,-5.824,-5.559,-6.458,2215.661,0.855,3340.464,-2.42,7.85,0.625,6,1.151,2,95.242,0,0,7.919,2,1,20,0,20,5,25,-5.824
miconazole22916-47-8,1,0,0,0,0,6,0,2,416.133,1.774,640.348,57.099,32.26,308.055,242.935,1142.039,0,3.7,0.0027545,0,0.825156,38.64,12.931,15.501,5.981,6.008,-6.497,-7.55,-5.83,4897.509,0.482,10000,-0.453,9.468,0.713,3,0.689,1,100,0,0,20.52,3,1,17,0,17,0,25,-5.79
delavirdine,0,0,0,0,0,5,0,-2,456.562,6.916,756.457,330.019,174.437,250.611,1.389,1374.907,3,10,0.0347862,0.0228969,0.7904897,48.053,14.761,26.372,17.572,2.602,-5.592,-5.47,-6.117,219.64,-1.596,97.821,-3.371,8.271,0.499,4,0.161,2,71.8,0,0,112.184,9,0,21,0,21,4,32,-5.74
ethisterone434-03-7,0,0,0,0,0,2,0,0,312.451,5.465,548.596,391.534,91.094,65.968,0,1024.21,1.5,2.75,0.0291557,0.0061394,0.8957192,34.181,9.353,14.999,6.572,3.11,-5.66,-5.237,-3.534,1355.368,-0.314,687.208,-2.774,9.64,0.413,3,0.76,3,94.355,0,0,49.194,2,0,17,0,17,14,23,-5.66
melengestrolacetate2919-66-6,0,0,0,0,0,2,1,-1,396.525,6.483,642.529,462.22,132.76,47.55,0,1245.29,0,6,0.0337466,0,0.8712024,42.852,11.07,17.859,7.961,3.634,-4.926,-5.93,-3.843,545.683,-0.723,257.048,-3.607,9.159,0.981,4,0.543,3,86.804,0,0,82.355,4,0,17,0,17,11,29,-5.57
diclofenac15307-86-5,0,0,0,1,0,4,0,-1,296.152,3.398,495.672,37.366,91.018,265.359,101.929,851.957,2,2.5,0.0135501,0.0071328,0.8768303,27.907,9.867,13.834,7.881,4.51,-5.1,-4.819,-2.983,343.853,-0.217,717.844,-1.878,8.588,0.374,4,0.031,3,82.478,0,0,59.65,3,0,12,0,12,0,19,-5.56
benfluralin1861-40-1,2,0,0,0,0,7,0,-1,335.282,1.467,552.893,253.034,137.998,45.213,116.648,975.393,0,3,0.0022051,0,0.8602879,28.818,7.838,11.19,3.748,5.29,-5.53,-5.891,-4.008,486.701,-0.815,989.266,-3.231,10.479,2.059,3,0.35,3,80.068,116.648,0,87.439,7,0,6,0,6,0,23,-5.53
danazol17230-88-5,0,0,0,0,0,2,0,0,337.461,5.855,572.54,350.233,97.633,124.674,0,1065.914,1.5,2.25,0.0321575,0.0048131,0.8814027,36.41,10.134,15.65,6.581,4.387,-5.442,-6.032,-4.046,1175.033,-0.395,588.933,-2.688,9.127,0.634,3,0.957,3,95.638,0,0,47.367,3,0,20,0,20,13,25,-5.51
chlorpyriphos,3,0,0,0,0,6,2,2,350.584,3.393,542.222,251.434,7.723,55.124,227.941,926.226,0,2.5,0.0124293,0,0.8474858,27.587,8.825,10.532,2.67,4.96,-5.49,-6.517,-4.263,8368.73,0.69,10000,-0.892,9.044,1.453,0,0.383,2,100,0,0,34.05,4,1,6,0,6,0,18,-5.49
pentachlorobenzene,7,0,0,0,0,0,0,1,250.339,1.514,370.963,0,0,69.09,301.873,584.737,0,0,0.0039175,0,0.9116088,17.907,6.327,6.342,1.188,5.17,-5.48,-5.246,-3.292,9906.038,0.192,10000,-1.276,9.396,0.816,0,0.315,3,100,0,0,0,0,0,6,0,6,0,11,-5.48
amitraz33089-61-1,2,0,0,0,0,4,0,0,293.411,1.479,652.942,387.438,42.322,223.181,0,1124.141,0,2.5,0.0019446,0,0.8007634,38.397,10.521,13.43,4.677,5.5,-5.47,-5.1,-5.82,3931.485,-0.118,2172.678,-1.129,7.678,1.116,5,1.043,2,100,0,0,45.128,3,1,12,0,12,0,22,-5.47
epitiostanol2363-58-8,0,0,0,0,0,1,1,1,306.505,3.197,529.775,434.862,40.314,0,54.598,984.968,1,2.2,0.0103749,0.0041527,0.9036948,32.622,8.483,13.126,4.699,4.463,-5.41,-5.431,-3.09,4107.71,0.308,4535.937,-2.166,9.066,0.093,1,0.842,3,100,0,0,20.677,1,0,18,3,15,17,21,-5.41
biquinoline119-91-5,3,0,0,0,0,1,0,1,256.306,0.001,517.906,0,15.625,502.281,0,871.369,0,2,0,0,0.8518875,32.873,9.897,11.744,6.238,4.31,-5.4,-4.427,-6.324,7042.506,0.36,4079.836,0.058,8.75,1.232,0,0.57,3,100,0,0,19.839,2,0,20,0,20,0,20,-5.4
captafol2425-06-1,2,0,0,0,0,2,3,2,349.059,4.566,499.824,140.577,60.514,81.45,217.283,861.584,0,3.5,0.024195,0,0.8760844,27.82,8.805,11.771,4.97,3.8,-5.4,-5.986,-3.926,2642.686,0.451,10000,-2.156,10.023,1.723,4,0.098,3,100,0,0,52.334,3,0,9,0,9,4,18,-5.4
triflupromazine,0,1,0,0,0,4,0,2,352.417,3.035,612.159,210.621,7.016,248.389,146.134,1073.285,0,2.5,0.0085803,0,0.8281535,36.603,9.487,13.576,4.561,5.54,-5.301,-5.355,-6.223,2119.671,1.011,7787.673,-2.452,7.995,0.775,6,0.895,2,93.175,111.321,0,8.34,2,1,14,0,14,0,24,-5.301
digitoxin71-63-6,11,0,0,0,0,11,3,-2,764.949,13.959,1107.866,864.502,215.61,27.754,0,2214.618,5,20.75,0.0879842,0.0418809,0.7416695,75.677,21.871,45.187,29.376,1.85,-5.29,-7.759,-5.844,89.386,-2.713,36.375,-4.339,10.311,0.772,7,-0.078,1,40.56,0,0,173.974,13,2,40,0,40,33,54,-5.29
Phenanthrene,7,0,0,0,0,0,0,1,178.233,0.031,399.191,0,0,399.191,0,650.198,0,0,0.0000015,0,0.9092455,23.679,7.195,7.347,3.183,4.46,-5.26,-5.627,-4.904,9906.038,0.192,5899.293,-0.113,8.465,0.77,0,0.506,3,100,0,0,0,0,0,14,0,14,0,14,-5.26
equilenin517-09-9,0,0,0,0,0,1,0,0,266.339,2.125,499.844,218.835,98.565,182.443,0,873.798,1,2.75,0.0051686,0.0055017,0.8843112,29.916,8.646,12.627,6.786,3.131,-4.082,-4.25,-4.274,1151.352,-0.337,576.115,-2.597,8.373,0.754,4,0.43,3,90.864,0,0,49.687,2,0,17,0,17,6,20,-5.25
hexamethylbenzene,6,0,0,0,0,0,0,2,162.274,0,414.579,385.22,0,29.359,0,687.559,0,0,0,0,0.9087218,21.642,4.968,6.038,-0.052,4.61,-5.23,-4.973,-3.149,9906.038,0.963,5899.293,-1.416,8.845,-0.442,6,0.614,3,100,0,0,0,0,0,6,0,6,0,12,-5.23
indomethacin,0,0,0,1,0,4,0,-1,357.793,4.493,596.527,188.666,125.424,210.811,71.626,1055.261,1,5.75,0.0191273,0.0096391,0.8403143,35.522,11.113,16.747,9.713,4.27,-4.62,-5.195,-3.314,162.22,-0.686,217.456,-2.704,8.703,0.94,3,0.046,3,76.065,0,0,84.14,5,0,15,0,15,0,25,-5.2
PNU0182622,0,0,0,0,0,2,0,0,300.378,8.617,594.435,180.628,81.176,268.943,63.687,998.173,1,5.7,0.0743857,0.0095889,0.8125771,35.077,10.545,17.111,10.191,3.131,-5.18,-3.876,-5.847,1683.075,-0.22,1939.192,-1.876,8.699,1.256,1,0.137,3,92.285,0,0,63.153,5,0,16,0,16,2,21,-5.18
N-ethyl;2-methoxy-nevirapine,0,0,0,0,0,2,0,0,284.317,2.201,514.697,266.791,61.497,186.41,0,899.257,1,5,0.0053889,0.0097144,0.8753915,30.33,8.611,13.76,8.592,2.651,-5.153,-3.785,-4.437,2586.56,-0.092,1381.829,-1.804,8.223,0.904,5,0.043,3,92.872,0,0,60.952,6,0,15,0,12,0,21,-5.153
prazosin19216-56-9,0,0,0,0,0,4,0,-1,383.406,8.648,647.215,305.448,110.681,231.087,0,1154.459,2,8,0.0647885,0.0174806,0.8223094,39.686,11.8,21.065,13.528,2.611,-4.586,-4.75,-5.509,883.715,-0.769,432.833,-2.361,8.126,0.743,3,0.048,3,82.713,0,0,99.304,9,0,21,0,21,4,28,-5.08
PNU0179841,1,0,0,0,0,2,0,-2,353.389,12.84,569.391,81.775,189.491,161.617,136.507,977.834,3,8,0.1686004,0.0243355,0.8367542,33.238,10.954,22.714,15.358,1.364,-3.946,-3.934,-4.944,158.109,-1.026,376.969,-4.25,8.806,1.682,2,-0.267,3,67.528,30.634,0,113.985,7,0,16,0,16,2,23,-5.07
PNU241028;674288-85-8,1,0,0,0,0,5,0,-2,459.528,2.6,755.567,294.433,215.378,110.717,135.039,1298.626,2,12,0.0052059,0.0224607,0.7618707,43.664,13.719,24.535,17.449,1.474,-5.142,-4.868,-5.913,89.84,-1.88,200.871,-4.619,8.829,1.94,2,-0.43,3,60.32,34.124,0,139.328,9,0,16,0,16,2,29,-5.060252
fenbufen,0,0,0,1,0,5,0,-2,254.285,5.669,520.604,67.731,149.257,303.616,0,873.566,1,4,0.0367844,0.0076834,0.8488968,28.495,9.674,13.448,8.354,3.2,-5.06,-3.483,-3.617,96.404,-1.119,50.201,-2.721,9.262,0.9,2,-0.141,3,67.656,0,0,78.259,3,0,12,0,12,0,19,-5.06
quinonamid27541-88-4,2,0,0,0,0,1,0,0,318.543,5.383,498.713,23.27,122.824,171.27,181.349,837.483,0.25,5.75,0.0346021,0.0057648,0.8615854,28.356,9.361,13.943,8.792,2.182,-5.03,-4.283,-4.588,677.89,-0.155,3200.981,-3.084,9.446,1.973,1,-0.327,3,82.731,0,0,88.546,4,0,10,0,10,0,19,-5.03
PNU0173796,1,0,0,0,1,5,1,-2,535.549,7.498,885.843,452.323,275.089,106.466,51.966,1576.424,2,14,0.0356591,0.0223505,0.7394753,54.741,16.485,29.741,22.34,0.947,-5.125,-5.123,-4.881,13.938,-2.964,17.211,-5.734,8.309,1.074,2,-0.485,2,28.005,26.675,30.53,189.356,13,2,22,0,22,6,37,-5.03
chlorpromazine,0,1,0,0,0,4,0,2,318.863,2.039,580.046,202.655,8.314,268.808,100.268,1011.64,0,2.5,0.0041099,0,0.8402077,34.331,10.25,12.558,4.615,5.19,-5.01,-4.524,-6.126,2060.421,0.888,4234.951,-2.404,8.137,0.497,5,0.716,3,100,0,0,9.467,2,0,14,0,14,0,21,-5.01
propoxyphene469-62-5,0,1,0,0,0,8,1,1,339.477,2.399,638.773,318.371,35.278,285.124,0,1185.534,0,4,0.004854,0,0.8480624,38.877,11.498,14.582,5.611,4.18,-5.01,-4.295,-6.076,1143.557,0.153,632.702,-2.46,9.139,-0.073,4,0.65,3,88.924,0,0,31.953,3,0,12,0,12,0,25,-5.01
sulindac,1,0,0,1,0,5,0,-1,356.411,2.571,618.651,191.28,133.469,222.97,70.931,1092.718,1,6,0.006051,0.0096985,0.8293253,36.495,10.953,17.037,12.429,3.42,-5,-3.758,-3.55,5.418,-0.858,178.281,-2.714,8.659,2.057,3,0.048,2,51.759,47.185,0,68.923,3,0,15,0,15,0,25,-5
PNU0177680,2,0,0,0,0,3,0,-2,360.365,16.991,619.411,173.001,195.34,165.949,85.12,1062.492,1,9.5,0.2716988,0.0153372,0.8129621,36.025,10.951,22.687,13.857,1.148,-4.95,-4.692,-5.35,139.153,-1.379,171.734,-4.247,9.178,1.419,0,-0.486,3,64.372,34.459,0,117.307,8,0,16,0,16,2,25,-4.95
fluorene,6,0,0,0,0,0,0,1,166.222,0.56,389.598,51.9,0,337.697,0,625.914,0,0,0.0005003,0,0.9082905,22.12,6.499,6.703,2.662,4.18,-4.91,-4.331,-4.626,9906.038,0.296,5899.293,-0.33,8.695,0.442,1,0.435,3,100,0,0,0,0,0,13,0,13,1,13,-4.91
probenecid57-66-9,1,0,0,1,0,7,0,-2,285.357,3.998,512.995,246.212,165.313,101.469,0,906.361,1,6.5,0.0176326,0.0126707,0.8829165,26.593,8.851,13.663,9.091,1.795,-2.26,-3.214,-2.103,67.895,-1.272,34.367,-3.537,10.132,1.253,0,-0.583,3,57.328,0,0,84.535,5,0,6,0,6,0,19,-4.9
estradiol,0,0,0,0,0,2,0,0,272.386,2.134,506.441,299.558,94.437,112.446,0,912.079,2,2.45,0.004995,0.0068415,0.8980991,30.137,8.795,13.876,7.247,4.01,-4.84,-4.276,-3.717,1259.946,-0.338,635.065,-2.672,8.871,-0.232,4,0.453,3,90.676,0,0,43.095,2,0,17,0,17,11,20,-4.84
griseofulvin126-07-8,0,0,0,0,0,3,0,0,352.771,8.468,568.604,367.031,83.37,58.152,60.051,1023.281,0,7,0.070069,0,0.8636772,33.427,9.191,15.521,8.304,2.18,-4.07,-4.353,-4.015,1604.346,-0.215,1758.777,-2.563,9.12,0.861,3,-0.411,3,86.556,0,0,82.778,6,0,14,0,14,3,24,-4.83
PNU0180523,0,0,0,0,0,6,0,-2,338.362,7.653,642.72,219.793,125.696,297.231,0,1107.266,0,7.45,0.0529012,0,0.8053369,37.145,11.463,16.843,10.157,2.369,-4.83,-4.774,-6.099,636.69,-1.09,303.682,-2.213,8.836,0.643,3,-0.415,3,76.733,0,0,81.264,6,0,17,0,17,2,25,-4.83
indoprofen,0,0,0,1,0,2,0,-1,281.31,4.754,546.137,126.711,138.223,281.203,0,928.843,1,5,0.0243353,0.0091552,0.8429944,32.42,9.968,15.193,9.835,2.77,-4.824,-3.716,-3.606,122.668,-0.854,65.135,-2.884,8.865,0.649,2,-0.057,3,73.133,0,0,78.652,4,0,15,0,15,1,21,-4.824
glyburide10238-21-8,2,0,0,0,1,8,0,-2,494.004,7.308,853.771,387.175,167.057,227.714,71.825,1510.311,2,6.75,0.0353638,0.0111809,0.7456495,51.327,16.389,24.302,14.837,4.516,-7.051,-7.185,-5.359,137.571,-1.746,283.091,-3.028,9.25,0.988,2,0.651,1,73.742,0,34.318,129.001,8,0,18,0,18,6,33,-4.82
PNU183981;674288-84-7,0,1,0,0,0,2,0,1,421.507,4.442,726.184,350.053,144.478,113.269,118.385,1254.983,2,9,0.0157206,0.0175271,0.7748371,43.868,12.681,22.853,14.614,2.335,-4.861,-4.013,-6.442,105.37,-0.472,214,-5.654,8.786,1.65,2,0.159,3,69.35,30.639,0,104.215,7,0,21,0,21,6,28,-4.7797068
neburon,1,0,0,0,1,4,0,1,275.177,8.666,533.931,252.707,34.421,117.291,129.512,895.432,1,2,0.0838685,0.0037458,0.8414629,28.233,8.653,12.708,5.987,3.8,-4.77,-4.112,-3.282,3341.01,0.316,10000,-1.357,8.69,0.255,0,0.169,3,100,0,18.292,35.107,3,0,6,0,6,0,17,-4.77
furosemide,0,0,0,1,0,6,0,-2,330.742,6.258,515.064,32.516,224.836,201.325,56.387,881.798,3,7,0.0444186,0.0235395,0.8634087,27.206,10.488,18.13,13.842,1.863,-3.474,-3.796,-2.895,18.509,-1.67,17.176,-4.378,9.122,1.302,4,-0.644,2,46.833,0,0,129.414,7,0,11,0,11,0,21,-4.75
stanolone,0,0,0,0,0,1,1,0,290.445,4.213,519.358,425.282,94.076,0,0,968.653,1,3.7,0.0183236,0.0071242,0.9116131,31.969,8.372,13.829,6.497,3.66,-4.74,-4.445,-2.962,1269.927,-0.251,640.505,-3.157,10.486,-0.788,3,0.522,3,91.754,0,0,49.927,2,0,17,0,17,16,21,-4.74
fenoxycarb,0,0,0,0,0,7,0,0,301.341,4.741,642.601,224.535,73.515,344.551,0,1062.872,1,3.75,0.021151,0.0058357,0.78381,35.178,11.221,14.865,7.724,4.3,-4.7,-4.683,-6.673,1989.545,-0.656,1040.561,-0.989,8.745,-0.029,1,0.471,3,92.197,0,0,63.451,5,0,12,0,12,0,22,-4.7
verapamil,0,1,0,0,0,14,0,1,454.608,1.618,839.172,640.373,49.994,148.806,0,1553.465,0,6.5,0.0016845,0,0.7730037,48.447,14.225,18.689,6.405,3.79,-6.217,-6.916,-6.641,829.285,-0.44,447.052,-2.635,8.936,0.149,6,0.795,1,74.821,0,0,60.91,6,1,12,0,12,0,33,-4.69
parathion,1,0,0,0,0,7,2,0,291.258,8.859,544.566,266.981,97.005,129.147,51.434,903.008,0,2.5,0.0869085,0,0.8296763,26.723,8.434,10.842,3.504,3.83,-4.66,-5.047,-4.904,1191.249,-0.672,1143.544,-2.18,9.299,1.604,1,0.273,3,85.779,0,0,66.385,6,0,6,0,6,0,18,-4.66
lindane,8,0,0,0,0,0,6,1,290.831,3.84,392.981,83.005,0,0,309.975,654.561,0,0,0.0225223,0,0.9277421,20.042,6.78,7.314,0.773,3.72,-4.64,-4.629,-2.701,9906.038,0.358,10000,-1.52,10.587,0.173,0,0.518,3,100,0,0,0,0,0,6,0,6,6,12,-4.64
desmedipham,0,0,0,0,0,4,0,-2,300.313,3.919,629.64,146.332,126.012,357.296,0,1027.052,2,5.5,0.0149512,0.0123534,0.7818696,35.792,11.54,17.763,11.986,3.39,-4.632,-3.825,-6.766,632.302,-1.052,301.421,-2.199,8.822,0.168,2,0.125,3,81.355,0,0,91.075,6,0,12,0,12,0,22,-4.632
dibenzofuran,4,0,0,0,0,0,0,0,168.195,1.545,363.212,0,0,363.212,0,583.284,0,0.5,0.0040926,0,0.9295184,20.658,6.435,6.591,3.556,3.975,-4.612,-4.659,-4.405,9906.038,-0.037,5899.293,-0.24,8.914,0.559,1,0.178,3,100,0,0,9.324,1,0,13,0,13,0,13,-4.6
lenacil,0,0,0,0,0,0,0,0,234.297,5.346,476.175,370.661,96.874,8.64,0,806.264,1,3.5,0.0354434,0.0073502,0.8797983,26.195,6.717,11.859,6.495,2.216,-4.59,-3.213,-3.518,1194.653,-0.271,599.569,-3.274,9.29,0.431,2,0.156,3,88.086,0,0,66.334,4,0,15,0,15,9,17,-4.59
PNU0174232,0,0,0,0,1,3,0,-2,363.363,7.385,616.751,198.935,200.766,156.397,60.653,1064.612,1,9.5,0.0512281,0.0154033,0.8175536,36.019,10.829,19.57,15.569,0.397,-4.26,-3.116,-3.856,80.039,-1.471,110.971,-4.381,9.09,1.657,1,-0.798,3,57.021,30.371,23.71,128.461,7,0,16,0,16,2,25,-4.56
