molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm
"Mitotane",6,0,0,0,0,2,0,1,320.045,0.000,499.179,22.961,0.000,249.615,226.603,864.399,0.000,0.000,0.0000000,0.0000000,0.8791268,29.539,9.674,10.269,2.257,6.442,-6.813,-6.813,-4.678,9906.038,0.238,10000.000,-0.448,0.000,0.000,2,1.042,2,100.000,0.000,0.000,0.000,0,1,12,0,12,0,18
"Tamoxifen",1,1,0,0,0,9,0,1,371.521,0.000,731.898,315.394,6.386,410.118,0.000,1315.848,0.000,2.750,0.0000000,0.0000000,0.7934480,44.644,13.445,15.368,5.037,6.449,-5.962,-5.706,-7.556,2149.025,0.352,1251.248,-1.391,0.000,0.000,3,1.320,2,100.000,0.000,0.000,13.644,2,1,18,0,18,0,28
"Sulforidazine",0,1,0,0,0,4,0,1,402.569,0.000,648.968,312.332,70.500,228.183,37.953,1211.110,0.000,6.500,0.0000000,0.0000000,0.8467029,41.925,11.844,17.947,8.846,3.428,-3.406,-4.627,-5.827,529.969,0.158,444.714,-3.694,0.000,0.000,5,0.225,3,95.563,0.000,0.000,44.036,4,0,20,0,20,5,27
"Ebrotidine",0,0,1,0,0,10,0,-2,477.411,0.000,744.978,132.966,278.889,189.848,143.275,1256.265,5.000,8.500,0.0000000,0.0255129,0.7558042,39.514,15.536,26.041,18.240,1.822,-5.423,-4.895,-6.389,22.449,-2.942,49.780,-7.093,0.000,0.000,1,-0.251,2,43.037,0.000,0.000,154.880,8,0,11,0,11,0,26
"Acetyldigoxin",12,0,0,0,0,12,4,-2,822.985,0.000,1183.716,904.874,251.005,27.837,0.000,2360.156,5.000,22.750,0.0000000,0.0429753,0.7242326,80.860,23.698,47.029,31.549,2.316,-7.071,-8.243,-6.127,41.268,-3.350,15.776,-4.895,0.000,0.000,7,-0.185,2,39.390,0.000,0.000,205.181,15,2,40,0,40,33,58
"Desogestrel",1,0,0,0,0,3,0,1,310.478,0.000,568.979,453.271,29.250,86.458,0.000,1056.478,1.500,0.750,0.0000000,0.0016144,0.8816756,35.026,9.297,13.644,4.150,5.343,-5.677,-5.960,-3.859,5230.197,0.132,2957.896,-1.466,0.000,0.000,6,1.150,2,96.424,0.000,0.000,17.853,1,1,17,0,17,14,23
"Butoctamide",0,0,0,0,1,9,0,-1,215.335,0.000,532.538,446.986,85.553,0.000,0.000,896.660,1.000,3.200,0.0000000,0.0060090,0.8444345,23.951,7.298,10.167,6.548,2.335,-2.323,-2.245,-2.675,858.026,-0.779,783.221,-2.232,0.000,0.000,2,-0.263,3,77.372,0.000,31.546,58.516,3,0,0,0,0,0,15
"Etodroxizine",0,2,0,0,0,12,0,1,418.962,0.000,804.060,385.626,55.006,291.816,71.613,1408.873,1.000,9.100,0.0000000,0.0113176,0.7558886,45.311,14.765,20.056,11.819,3.437,-3.339,-2.800,-8.326,185.388,0.171,241.707,-4.478,0.000,0.000,7,0.070,3,100.000,0.000,0.000,46.716,5,0,18,0,18,4,29
"Bezafibrate",0,0,0,1,0,7,0,-2,361.824,0.000,670.258,182.150,146.577,269.925,71.606,1156.114,2.000,5.250,0.0000000,0.0110773,0.7947978,38.197,12.865,18.865,10.747,4.263,-5.646,-5.325,-4.332,102.214,-1.230,131.960,-2.598,0.000,0.000,2,0.222,3,70.061,0.000,0.000,92.405,5,0,12,0,12,0,25
"Solifenacin",0,1,0,0,0,1,0,2,362.471,0.000,639.195,295.807,29.580,313.808,0.000,1177.013,0.000,4.500,0.0000000,0.0000000,0.8434365,43.305,11.578,16.825,7.805,4.418,-4.591,-4.619,-6.288,1295.062,0.625,723.773,-2.926,0.000,0.000,4,0.789,3,100.000,0.000,0.000,37.377,4,0,24,0,24,10,27
"Etafenone",0,1,0,0,0,10,0,1,325.450,0.000,607.736,245.674,40.697,321.365,0.000,1129.481,0.000,4.750,0.0000000,0.0000000,0.8630504,35.696,11.304,14.128,6.117,3.918,-2.399,-3.578,-6.007,1015.955,-0.005,556.750,-2.240,0.000,0.000,4,0.202,3,100.000,0.000,0.000,34.685,3,0,12,0,12,0,24
"Allylestrenol",2,0,0,0,0,3,0,1,300.483,0.000,569.255,475.936,24.759,68.560,0.000,1061.311,1.000,0.750,0.0000000,0.0013175,0.8839343,35.048,9.078,13.017,3.266,5.521,-5.854,-5.869,-3.737,5769.163,0.171,3288.689,-1.446,0.000,0.000,5,1.243,2,96.360,0.000,0.000,17.476,1,1,17,0,17,15,22
"Aptrol",1,1,0,0,0,3,0,1,149.235,0.000,402.466,223.167,42.408,136.891,0.000,641.262,2.000,1.000,0.0000000,0.0035139,0.8935653,18.890,5.868,8.475,5.160,1.888,-1.160,-0.643,-4.633,978.687,0.427,534.708,-3.593,0.000,0.000,4,-0.133,3,96.483,0.000,0.000,23.437,1,0,6,0,6,0,11
"Azapetine",2,1,0,0,0,2,0,2,235.328,0.000,491.802,158.510,5.045,328.248,0.000,845.851,0.000,2.000,0.0000000,0.0000000,0.8795031,29.548,8.486,10.253,4.699,3.662,-2.945,-2.700,-5.773,2212.899,0.798,1291.494,-2.327,0.000,0.000,4,0.454,3,100.000,0.000,0.000,5.583,1,0,15,0,12,2,18
"Chlorphentermine",1,1,0,0,0,3,0,2,183.680,0.000,409.756,166.591,35.615,135.926,71.624,668.991,2.000,1.000,0.0000000,0.0034514,0.9027895,19.991,6.688,9.200,5.150,2.385,-1.605,-1.448,-4.479,1135.184,0.666,1549.186,-3.472,0.000,0.000,2,-0.055,3,100.000,0.000,0.000,21.737,1,0,6,0,6,0,12
"Cyclobenzaprine",2,1,0,0,0,3,0,2,275.393,0.000,575.276,251.509,4.911,318.857,0.000,1002.819,0.000,2.000,0.0000000,0.0000000,0.8422431,35.098,9.792,11.977,4.614,4.676,-4.364,-3.693,-6.331,2219.389,0.735,1295.588,-2.261,0.000,0.000,2,0.867,3,100.000,0.000,0.000,5.901,1,0,15,0,12,0,21
"Pimethixene",2,1,0,0,0,0,0,2,293.426,0.000,548.308,216.642,6.069,289.909,35.688,964.446,0.000,2.000,0.0000000,0.0000000,0.8609796,35.212,9.538,12.477,5.035,4.520,-4.496,-4.140,-5.890,2163.959,0.995,1977.401,-2.673,0.000,0.000,4,0.883,3,100.000,0.000,0.000,5.888,1,0,20,0,20,4,21
"Tropatepine",2,1,0,0,0,0,0,2,333.490,0.000,565.384,261.202,3.389,267.869,32.923,1050.150,0.000,2.500,0.0000000,0.0000000,0.8837364,38.431,10.235,14.131,5.399,4.818,-4.546,-4.886,-5.417,2294.378,1.014,2034.325,-2.701,0.000,0.000,4,0.998,3,100.000,0.000,0.000,5.292,1,0,23,0,20,7,24
"Cyclopentamine",4,1,0,0,0,3,0,2,141.256,0.000,393.733,386.979,6.754,0.000,0.000,642.113,1.000,1.500,0.0000000,0.0038097,0.9141932,17.617,4.616,6.493,2.993,2.049,-1.164,-0.568,-3.647,2131.839,0.727,1240.436,-3.419,0.000,0.000,1,-0.066,3,96.308,0.000,0.000,11.030,1,0,5,0,5,5,10
"Isometheptene",3,1,0,0,0,4,0,2,141.256,0.000,422.613,401.510,10.685,10.418,0.000,679.918,1.000,1.500,0.0000000,0.0035493,0.8848301,18.587,4.862,6.679,2.939,2.269,-1.523,-0.568,-4.171,1956.478,0.630,1130.524,-3.358,0.000,0.000,4,-0.010,3,96.029,0.000,0.000,12.347,1,0,0,0,0,0,10
"Ethylestrenol",2,0,0,0,0,2,0,1,288.472,0.000,552.131,497.153,24.234,30.745,0.000,1017.600,1.000,0.750,0.0000000,0.0013584,0.8861500,33.580,8.417,12.434,3.184,5.197,-5.696,-5.574,-3.521,5835.689,0.237,3329.699,-1.666,0.000,0.000,4,1.161,2,94.071,0.000,0.000,17.290,1,1,17,0,17,15,21
"Benzphetamine",2,1,0,0,0,5,0,1,239.360,0.000,514.395,177.648,0.000,336.746,0.000,901.199,0.000,2.000,0.0000000,0.0000000,0.8771669,29.917,9.038,10.209,4.115,4.239,-2.884,-2.884,-5.852,2470.586,-0.367,1454.789,-1.916,0.000,0.000,3,0.487,3,100.000,0.000,0.000,1.933,1,0,12,0,12,0,18
"Clobenzorex",2,1,0,0,0,5,0,2,259.778,0.000,520.183,140.822,4.482,337.785,37.095,902.800,1.000,1.500,0.0000000,0.0028836,0.8684326,29.991,9.537,11.315,5.151,4.262,-3.304,-3.373,-5.998,2240.259,0.712,2089.606,-1.995,0.000,0.000,3,0.565,3,100.000,0.000,0.000,9.469,1,0,12,0,12,0,18
"Etilamfetamine",3,1,0,0,0,4,0,2,163.262,0.000,431.426,241.152,4.978,185.297,0.000,702.986,1.000,1.500,0.0000000,0.0034768,0.8862509,21.181,6.307,7.786,4.111,2.661,-1.683,-1.074,-4.982,2216.131,0.679,1293.533,-2.637,0.000,0.000,2,0.054,3,100.000,0.000,0.000,10.025,1,0,6,0,6,0,12
"Fenfluramine",3,1,0,0,0,4,0,2,231.260,0.000,471.726,234.299,5.310,124.051,108.066,794.066,1.000,1.500,0.0000000,0.0031798,0.8791165,24.241,6.057,9.357,3.832,3.580,-2.888,-2.685,-4.806,2200.112,0.940,5015.987,-2.859,0.000,0.000,3,0.305,3,100.000,108.066,0.000,9.666,1,0,6,0,6,0,16
"Mefenorex",2,1,0,0,0,5,0,2,211.734,0.000,485.700,223.030,4.733,184.750,73.186,807.499,1.000,1.500,0.0000000,0.0030883,0.8634263,24.716,7.738,9.252,4.042,3.606,-2.828,-2.218,-5.349,2227.985,0.798,3274.864,-2.538,0.000,0.000,2,0.298,3,100.000,0.000,0.000,10.042,1,0,6,0,6,0,14
"Phentermine",1,1,0,0,0,3,0,2,149.235,0.000,385.550,166.340,35.600,183.611,0.000,624.559,2.000,1.000,0.0000000,0.0036680,0.9165006,18.668,6.180,8.502,5.391,1.887,-0.855,-0.643,-4.485,1135.557,0.499,627.920,-3.303,0.000,0.000,2,-0.174,3,100.000,0.000,0.000,22.135,1,0,6,0,6,0,11
"Sibutramine",3,1,0,0,0,4,0,1,279.852,0.000,534.174,353.945,0.000,108.515,71.714,968.528,0.000,2.000,0.0000000,0.0000000,0.8862514,31.074,8.619,10.887,2.856,4.450,-3.734,-3.734,-4.616,2470.586,-0.014,3594.588,-2.816,0.000,0.000,1,0.725,3,100.000,0.000,0.000,2.575,1,0,10,4,6,4,19
"Fenpiprane",2,1,0,0,0,5,0,2,279.424,0.000,600.774,256.987,1.226,342.560,0.000,1050.883,0.000,2.000,0.0000000,0.0000000,0.8320644,35.963,10.376,12.103,4.370,5.043,-4.521,-3.793,-6.609,2405.317,0.649,1413.292,-1.918,0.000,0.000,4,0.921,3,100.000,0.000,0.000,5.181,1,1,18,0,18,5,21
"Terodiline",2,1,0,0,0,6,0,2,281.440,0.000,584.135,250.074,5.615,328.446,0.000,1050.959,1.000,1.000,0.0000000,0.0017119,0.8558070,35.189,10.589,12.769,4.523,5.259,-4.336,-4.095,-6.158,2185.520,0.549,1274.231,-1.953,0.000,0.000,4,1.036,3,100.000,0.000,0.000,9.324,1,1,12,0,12,0,21
"Perhexilene",3,1,0,0,0,4,0,2,277.492,0.000,591.610,583.869,7.741,0.000,0.000,1067.290,1.000,1.500,0.0000000,0.0025355,0.8537242,33.991,8.436,12.246,3.255,4.760,-4.624,-3.802,-4.625,2086.364,0.650,1211.860,-3.341,0.000,0.000,0,1.070,3,96.071,0.000,0.000,12.696,1,0,18,0,18,17,20
"Xibornol",2,0,0,0,0,1,0,1,258.403,0.000,513.424,428.745,32.215,52.463,0.000,920.390,1.000,0.750,0.0000000,0.0014608,0.8912578,30.539,7.746,11.466,3.514,4.538,-5.136,-4.837,-3.542,4902.320,0.233,2757.989,-1.832,0.000,0.000,4,0.925,3,93.540,0.000,0.000,18.741,1,0,13,0,13,7,19
"Amitriptyline",2,1,0,0,0,3,0,2,277.408,0.000,580.794,274.825,6.217,299.752,0.000,1021.491,0.000,2.000,0.0000000,0.0000000,0.8445648,35.662,9.853,12.223,4.506,4.766,-4.468,-3.743,-6.203,2156.983,0.723,1256.257,-2.353,0.000,0.000,4,0.921,3,100.000,0.000,0.000,5.874,1,0,15,0,12,2,21
"Butriptyline",2,1,0,0,0,4,0,2,293.451,0.000,570.626,296.403,1.383,272.840,0.000,1049.031,0.000,2.000,0.0000000,0.0000000,0.8749946,35.865,9.982,12.500,4.045,4.948,-4.113,-4.141,-5.582,2397.082,0.709,1408.063,-2.262,0.000,0.000,6,0.958,3,100.000,0.000,0.000,4.436,1,0,15,0,12,3,22
"Dothiepin",2,1,0,0,0,3,0,2,295.442,0.000,584.140,243.209,6.073,301.291,33.567,1026.301,0.000,2.500,0.0000000,0.0000000,0.8423606,35.870,10.140,12.678,5.028,4.685,-4.416,-3.943,-6.246,2163.785,0.807,1925.031,-2.345,0.000,0.000,3,0.801,3,100.000,0.000,0.000,5.850,1,0,15,0,12,1,21
"Maprotiline",1,1,0,0,0,4,0,2,277.408,0.000,559.860,250.881,23.852,285.127,0.000,985.872,1.000,1.500,0.0000000,0.0026792,0.8556558,33.455,9.792,12.630,5.228,4.457,-4.037,-3.799,-5.954,1467.618,0.504,828.550,-2.633,0.000,0.000,6,0.840,3,100.000,0.000,0.000,14.785,1,0,16,0,16,4,21
"Melitracen",2,1,0,0,0,4,0,2,291.435,0.000,595.194,334.948,6.325,253.921,0.000,1063.165,0.000,2.000,0.0000000,0.0000000,0.8463954,36.250,9.933,12.396,4.009,4.984,-4.578,-4.091,-5.955,2151.873,0.662,1253.040,-2.420,0.000,0.000,2,1.000,3,100.000,0.000,0.000,5.893,1,0,14,0,14,1,22
"Nortriptyline",1,1,0,0,0,3,0,2,263.382,0.000,556.595,233.680,24.075,298.840,0.000,966.782,1.000,1.500,0.0000000,0.0026950,0.8495281,33.464,9.685,12.617,5.536,4.348,-4.139,-3.460,-6.118,1460.490,0.559,824.201,-2.685,0.000,0.000,4,0.828,3,100.000,0.000,0.000,14.842,1,0,15,0,12,2,20
"Prolintane",3,1,0,0,0,5,0,1,217.353,0.000,496.139,323.444,0.000,172.695,0.000,864.615,0.000,2.000,0.0000000,0.0000000,0.8846607,26.887,7.568,8.921,2.955,3.607,-2.538,-2.538,-4.948,2470.586,-0.075,1454.789,-2.494,0.000,0.000,2,0.381,3,100.000,0.000,0.000,1.182,1,0,11,0,11,4,16
"Protriptyline",1,1,0,0,0,4,0,2,263.382,0.000,562.492,221.135,23.883,317.474,0.000,968.179,1.000,1.500,0.0000000,0.0026667,0.8414326,33.056,9.802,12.359,5.455,4.379,-4.085,-3.460,-6.338,1466.624,0.496,827.944,-2.520,0.000,0.000,4,0.788,3,100.000,0.000,0.000,14.787,1,0,15,0,12,1,20
"Sertraline",1,1,0,0,0,1,0,2,306.234,0.000,543.079,181.420,11.024,221.064,129.570,951.884,1.000,1.500,0.0000000,0.0027620,0.8617049,33.409,9.859,13.129,5.372,4.747,-4.780,-4.500,-5.550,1942.044,1.121,5748.979,-2.911,0.000,0.000,5,0.873,3,100.000,0.000,0.000,12.234,1,0,16,0,16,4,20
"Setiptiline",2,1,0,0,0,0,0,2,261.366,0.000,509.942,206.766,6.363,296.813,0.000,906.978,0.000,2.000,0.0000000,0.0000000,0.8886048,32.978,8.918,11.714,4.979,4.015,-3.614,-3.345,-5.476,2150.123,0.908,1251.939,-2.654,0.000,0.000,4,0.716,3,100.000,0.000,0.000,5.884,1,0,19,0,18,4,20
"Tranylcypromine",1,1,0,0,0,1,0,1,133.193,0.000,356.575,101.173,61.990,193.413,0.000,553.912,2.000,1.000,0.0000000,0.0039661,0.9147627,17.219,5.664,8.475,6.008,1.268,-0.662,-0.277,-4.560,638.195,0.408,336.827,-3.947,0.000,0.000,3,-0.282,3,95.388,0.000,0.000,26.617,1,0,9,3,6,3,10
"Ditiocarb",3,0,0,0,0,3,1,2,149.269,0.000,349.156,223.715,6.709,0.000,118.731,546.760,0.800,2.000,0.0000000,0.0051234,0.9261413,13.801,4.515,5.743,3.126,2.282,-2.007,-1.832,-2.727,8556.108,0.622,10000.000,-1.355,0.000,0.000,1,-0.383,3,96.319,0.000,0.000,10.845,1,0,0,0,0,0,8
"Terbinafine",3,1,0,0,0,6,0,1,291.435,0.000,657.885,365.268,0.000,292.618,0.000,1144.334,0.000,2.000,0.0000000,0.0000000,0.8042355,38.584,10.908,12.663,3.939,5.738,-5.441,-5.441,-6.821,2470.586,0.009,1454.789,-1.975,0.000,0.000,3,1.150,3,100.000,0.000,0.000,3.706,1,1,10,0,10,0,22
"Bisulepin",3,1,0,0,0,3,0,2,301.464,0.000,563.325,244.613,3.021,224.309,91.383,988.482,0.000,2.000,0.0000000,0.0000000,0.8518929,33.621,9.646,11.829,3.961,4.833,-4.535,-4.339,-5.724,2312.895,0.978,4289.789,-2.560,0.000,0.000,3,0.825,3,100.000,0.000,0.000,5.886,1,0,14,0,11,1,20
"Phenindamine",2,1,0,0,0,0,0,2,261.366,0.000,523.515,199.632,4.944,318.939,0.000,931.428,0.000,2.000,0.0000000,0.0000000,0.8810521,34.168,9.257,12.107,5.152,4.210,-3.871,-3.345,-5.704,2217.757,0.920,1294.559,-2.550,0.000,0.000,5,0.787,3,100.000,0.000,0.000,5.834,1,0,19,0,19,4,20
"Pyrrobutamine",2,1,0,0,0,5,0,2,311.853,0.000,601.475,237.508,4.745,287.613,71.609,1061.059,0.000,2.000,0.0000000,0.0000000,0.8364513,35.846,10.624,12.462,4.047,5.294,-4.847,-4.597,-6.276,2227.430,0.791,3209.508,-2.176,0.000,0.000,3,0.951,3,100.000,0.000,0.000,5.592,1,1,17,0,17,4,22
"Pargyline",3,1,0,0,0,4,0,2,159.230,0.000,418.412,170.619,1.151,246.642,0.000,668.221,0.500,2.000,0.0000000,0.0033800,0.8834344,20.375,6.212,7.141,4.231,2.434,-1.365,-0.888,-5.321,2409.252,0.711,1415.791,-2.350,0.000,0.000,3,-0.093,3,100.000,0.000,0.000,4.751,1,0,6,0,6,0,12
"Mephentermine",3,1,0,0,0,3,0,2,163.262,0.000,408.309,215.838,15.586,176.884,0.000,673.295,1.000,1.000,0.0000000,0.0024491,0.9098713,20.554,6.209,7.696,3.799,2.582,-1.566,-1.237,-4.560,1757.902,0.656,1007.024,-2.958,0.000,0.000,2,0.099,3,100.000,0.000,0.000,12.509,1,0,6,0,6,0,12
"Octodrine",4,1,0,0,0,5,0,1,129.245,0.000,399.402,351.822,47.580,0.000,0.000,634.008,2.000,1.000,0.0000000,0.0035408,0.8936173,16.009,4.862,7.234,3.815,1.645,-0.780,-0.188,-3.980,874.172,0.263,473.263,-3.979,0.000,0.000,2,-0.237,3,86.497,0.000,0.000,24.405,1,0,0,0,0,0,9
"Cyproheptadine",2,1,0,0,0,0,0,2,287.404,0.000,558.068,251.655,5.795,300.619,0.000,991.570,0.000,2.000,0.0000000,0.0000000,0.8617071,36.400,9.623,12.777,5.117,4.575,-4.526,-3.991,-5.930,2176.930,0.910,1268.819,-2.630,0.000,0.000,3,0.962,3,100.000,0.000,0.000,5.818,1,0,21,0,18,4,22
"Pizotyline",2,1,0,0,0,0,0,2,295.442,0.000,551.916,281.248,5.847,218.780,46.040,980.867,0.000,2.000,0.0000000,0.0000000,0.8650324,35.190,9.281,12.480,4.561,4.585,-4.610,-4.190,-5.485,2174.465,1.023,2265.042,-2.919,0.000,0.000,5,0.930,3,100.000,0.000,0.000,5.829,1,0,20,0,17,6,21
"Chlornaphazine",4,0,0,0,0,3,0,2,268.185,0.000,512.927,126.443,0.004,241.566,144.915,863.367,0.000,1.000,0.0000000,0.0000000,0.8548829,28.779,8.904,9.765,2.971,5.276,-5.944,-5.214,-5.032,9905.243,0.738,10000.000,-0.381,0.000,0.000,1,0.729,2,100.000,0.000,0.000,1.731,1,1,10,0,10,0,17
"Budipine",3,1,0,0,0,1,0,2,293.451,0.000,574.729,256.741,0.392,317.596,0.000,1052.648,0.000,1.000,0.0000000,0.0000000,0.8707439,38.364,10.309,13.081,4.030,5.518,-5.202,-4.634,-5.864,2449.522,0.898,1441.387,-2.375,0.000,0.000,3,1.364,3,100.000,0.000,0.000,4.126,1,1,18,0,18,5,22
"Memantine",2,1,0,0,0,1,0,2,179.305,0.000,396.308,348.755,47.552,0.000,0.000,676.855,2.000,1.000,0.0000000,0.0035685,0.9407251,20.292,5.729,9.332,4.690,1.926,-1.375,-1.345,-3.217,874.702,0.543,473.574,-4.362,0.000,0.000,0,0.058,3,86.504,0.000,0.000,24.664,1,0,10,0,10,10,13
"Methixene",2,1,0,0,0,2,0,2,309.468,0.000,581.512,242.529,4.492,302.208,32.283,1041.125,0.000,2.000,0.0000000,0.0000000,0.8542959,37.114,10.299,13.061,4.745,5.032,-4.785,-4.538,-6.057,2239.752,0.880,1966.089,-2.408,0.000,0.000,5,1.020,3,100.000,0.000,0.000,5.821,1,1,20,0,20,6,22
"Piroheptine",2,1,0,0,0,1,0,2,303.446,0.000,580.611,299.928,1.302,279.381,0.000,1053.832,0.000,2.000,0.0000000,0.0000000,0.8625694,38.046,10.032,13.308,4.775,4.987,-4.790,-4.388,-5.814,2401.348,0.890,1410.771,-2.526,0.000,0.000,5,1.100,3,100.000,0.000,0.000,4.259,1,0,20,0,17,5,23
"Chlorprothixene",2,1,0,0,0,4,0,2,315.860,0.000,586.501,211.446,6.360,261.657,107.039,1017.268,0.000,2.000,0.0000000,0.0000000,0.8340388,34.487,10.274,12.110,4.079,5.101,-4.880,-4.696,-6.191,2150.242,0.923,4830.210,-2.394,0.000,0.000,3,0.866,3,100.000,0.000,0.000,5.897,1,1,14,0,14,0,21
"Alverine",3,1,0,0,0,9,0,1,281.440,0.000,659.959,264.869,0.004,395.086,0.000,1130.510,0.000,2.000,0.0000000,0.0000000,0.7952391,37.083,11.502,11.986,3.979,5.632,-4.992,-3.843,-7.456,2470.392,0.420,1454.665,-1.326,0.000,0.000,3,0.983,3,100.000,0.000,0.000,3.932,1,1,12,0,12,0,21
"Cyverine",3,1,0,0,0,6,0,2,251.454,0.000,600.344,598.459,1.885,0.000,0.000,1045.943,0.000,2.000,0.0000000,0.0000000,0.8300486,31.852,7.915,10.083,1.823,4.605,-4.350,-3.100,-5.008,2370.945,0.582,1391.475,-3.041,0.000,0.000,1,0.865,3,100.000,0.000,0.000,5.306,1,0,12,0,12,12,18
