molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logPow
cytosine,5,0,0,0,0,1,0,-1,111.103,8.518,276.498,0,178.167,98.331,0,397.956,3,4,0.1823376,0.025057,0.9463013,10.069,4.639,12.031,10.378,-0.963,-0.5,-0.534,-2.87,202.461,-0.823,88.021,-4.361,9.129,0.29,0,-0.807,3,61.396,0,0,81.347,4,0,6,0,6,0,8,-1.73
sparsomycin1404-64-4,0,0,0,0,0,10,1,-2,361.43,10.662,626.422,293.724,252.777,22.062,57.859,1080.699,3,11.2,0.1051818,0.0309679,0.81302,30.885,11.249,22.116,18.836,-0.138,-1.439,-1.651,-4.663,1.581,-2.447,31.39,-5.14,9.302,1.464,3,-0.876,1,38.595,0,0,154.869,8,0,6,0,6,0,23,-1.71
hydantoin,7,0,0,0,0,0,0,-1,100.077,3.165,231.429,61.975,169.454,0,0,331.27,2,3.5,0.030248,0.0213877,1.0004624,7.103,3.599,7.094,7.805,-1.072,-0.105,-0.492,-1.525,244.887,-0.565,108.117,-4.643,10.26,-0.109,1,-0.798,3,57.209,0,0,90.304,4,0,5,0,5,1,7,-1.69
ganciclovir,0,0,0,0,0,9,0,-2,255.233,6.489,485.416,133.846,276.292,75.278,0,795.513,5,9.1,0.0529231,0.0419191,0.8553596,20.622,9.104,19.615,17.58,-1.411,-1.368,-1.391,-4.231,23.759,-2.497,8.686,-5.482,8.522,0.236,4,-0.995,2,36.343,0,0,139.102,9,0,9,0,9,0,18,-1.66
acyclovir,0,0,0,0,0,6,0,-2,225.207,9.68,436.987,133.948,249.562,53.476,0,702.072,4,8.9,0.1334694,0.0407335,0.8742145,18.601,7.683,18.421,16.133,-1.516,-1.327,-1.064,-3.822,42.589,-1.975,16.323,-5.354,8.586,0.247,2,-0.952,2,41.374,0,0,128.951,8,0,9,0,9,0,16,-1.56
l-leucine,1,1,0,1,0,4,0,-1,131.174,1.358,346.543,198.889,147.654,0,0,537.074,3,3,0.0034357,0.0149943,0.9220703,12.771,5.023,9.525,8.024,-1.804,-0.301,0.305,-1.712,24.9,-0.437,12.857,-5.919,9.995,-0.552,3,-0.86,2,52.562,0,0,73.296,3,0,0,0,0,0,9,-1.52
amicetin17650-86-1,8,2,0,0,0,12,1,-2,618.686,16.269,1035.207,500.247,327.212,207.749,0,1887.78,6,20.7,0.1402002,0.04898,0.7135734,63.674,21.745,43.595,32.379,-1.172,-3.09,-1.989,-8.61,0.486,-3.647,0.159,-9.791,9.147,0.527,6,-0.933,1,32.568,0,0,224.265,15,3,24,0,24,10,44,-1.47
FlexibleTIP3FWater,12,0,0,0,0,0,0,-1,18.015,2.587,126.272,0,126.272,0,0,133.425,2,1.7,0.0501627,0.0190395,1.0000328,-0.814,0.615,3.504,5.485,-1.291,1.18,-1.642,-1.531,628.723,-0.278,299.577,-3.847,12.333,-4.08,0,-0.993,3,67.586,0,0,39.366,1,0,0,0,0,0,1,-1.38
1;2-ethanediol,9,0,0,0,0,3,0,-1,62.068,3.728,225.138,122.799,102.339,0,0,299.427,2,3.4,0.046411,0.0213572,0.961413,3.903,2.182,5.67,6.573,-0.768,0.453,-0.365,-2.156,1060.28,-0.355,527.019,-3.118,10.863,-2.707,2,-0.993,3,73.338,0,0,43.361,2,0,0,0,0,0,4,-1.36
Dimethylsulfoxide,8,0,0,0,0,0,0,1,78.129,5.799,248.377,174.453,47.157,0,26.766,343.972,0,4,0.0977779,0,0.9558782,7.612,2.007,5.029,7.087,-0.633,2,2.275,-2.246,140.834,0.285,2716.836,-2.389,9.212,-0.314,1,-1.453,3,86.599,0,0,20.351,1,0,0,0,0,0,4,-1.35
Dimethylsulfone,9,0,0,0,0,0,0,0,94.128,5.363,260.867,170.133,90.069,0,0.666,365.866,0,4,0.0786048,0,0.9483326,8.488,2.291,5.141,4.9,-0.887,0.931,0.578,-2.368,1386.051,-0.103,709.974,-3.179,11.208,-0.202,0,-1.39,3,76.287,0,0,39.474,2,0,0,0,0,0,5,-1.34
tetracycline60-54-8,1,1,0,0,0,7,0,-2,444.44,9.599,634.319,200.603,309.675,124.041,0,1201.796,3,8.25,0.0766769,0.0225272,0.8618099,38.632,13.141,23.329,15.172,0.692,-2.606,-4.667,-5.086,2.859,-2.24,0.974,-8.18,8.809,0.875,9,0.025,1,31.435,0,0,189.064,10,1,18,0,18,6,32,-1.3
acetamide,10,0,0,0,1,0,0,-1,59.068,5.528,220.318,94.873,125.445,0,0,291.014,2,2.5,0.1050012,0.0160474,0.9639573,5.492,2.274,6.765,9.806,-1.406,1.597,0.391,-0.741,281.916,-0.337,305.484,-3.831,9.903,-1.5,0,-1.201,3,67.785,0,44.747,56.094,2,0,0,0,0,0,4,-1.26
lisinopril,0,2,0,2,1,13,0,-2,405.493,6.49,707.214,308.842,200.968,197.404,0,1319.867,5,9.5,0.0319168,0.0300371,0.8228132,40.205,14.415,26.12,19.231,-0.57,-1.173,-1.113,-1.803,0.357,-1.402,0.26,-7.405,9.094,-0.185,7,-0.909,1,42.473,0,17.399,145.299,8,0,11,0,11,4,29,-1.22
Ac(Ala)NMe;AllatomOPLSC5,1,0,0,0,2,2,0,0,144.173,3.696,390.144,282.533,107.611,0,0,595.409,1.25,4.25,0.0229372,0.0121792,0.8773037,16.39,4.553,8.968,11.875,-0.721,0.421,0.27,-0.769,280.137,-0.489,465.357,-3.311,9.608,-0.963,1,-1.221,3,72.071,0,66.338,76.505,4,0,0,0,0,0,10,-1.21
Ac(Ala)NMe;C7eq,0,0,0,0,2,2,0,0,144.173,4.774,381.591,290.956,90.635,0,0,584.653,1.25,4.25,0.0389883,0.0124522,0.8861337,15.96,4.393,8.972,11,-0.661,0.225,0.27,-0.626,487.37,-0.327,694.695,-2.998,9.467,-0.814,1,-1.241,3,76.151,0,56.351,73.169,4,0,0,0,0,0,10,-1.21
gabapentin60142-96-3,1,1,0,1,0,4,0,-1,171.239,2.541,382.07,244.568,137.501,0,0,630.13,3,3,0.0102489,0.0136,0.9303419,16.495,6.02,10.897,8.04,-1.188,-0.835,-0.435,-1.578,31.079,-0.338,16.338,-5.732,9.441,-1.08,3,-0.651,2,55.002,0,0,71.368,3,0,6,0,6,6,12,-1.1
uracil,6,0,0,0,0,0,0,-1,112.088,5.376,269.966,0,182.143,87.823,0,388.384,2,3.5,0.0744203,0.0183347,0.9535929,10.228,4.346,8.931,8.582,-0.82,-0.53,-0.645,-2.702,185.626,-0.772,80.137,-4.567,9.746,0.527,0,-0.765,3,59.77,0,0,87.18,4,0,6,0,6,0,8,-1.07
tryptophan73-22-3,0,1,0,1,0,4,0,-1,204.228,4.144,415.113,44.632,159.589,210.892,0,686.839,4,3,0.0249989,0.0144539,0.9069182,20.779,8.259,14.463,11.169,-0.986,-1.145,-0.888,-2.963,19.187,-0.573,9.701,-5.396,8.205,-0.041,4,-0.634,2,63.164,0,0,84.866,4,0,9,0,9,0,15,-1.06
N-methylacetamide,9,0,0,0,1,0,0,1,73.094,5.669,264.238,192.37,71.868,0,0,365.705,1,2.5,0.0878841,0.0094612,0.9359589,8.482,2.223,5.8,7.456,-0.54,0.741,0.407,-1.194,1060.489,0.017,1081.81,-2.844,9.584,-1.437,0,-1.085,3,80.66,0,36.29,41.936,2,0,0,0,0,0,5,-1.05
norfloxacin70458-96-7,0,1,0,1,0,2,0,-1,319.335,10.881,567.372,285.837,179.375,67.589,34.571,984.284,1,6,0.120295,0.0105751,0.8434206,32.598,9.076,17.155,9.71,0.048,-3.753,-2.986,-3.307,12.456,-0.755,9.406,-6.458,8.726,0.99,1,-0.102,2,49.256,34.571,0,99.627,6,0,16,0,16,4,23,-1.03
thiourea,7,0,0,0,0,0,0,-1,76.116,7.409,217.903,0,137.608,0,80.295,288.051,4,2.5,0.1905837,0.022946,0.9680135,5.374,3.4,11.269,9.529,-0.871,-0.075,-0.159,-2.05,490.869,-0.219,631.216,-4.056,8.586,-0.055,0,-0.959,3,64.862,0,0,60.761,2,0,0,0,0,0,4,-1.02
Dimethylformamide,10,0,0,0,1,0,0,1,73.094,4.999,261.564,185.28,76.284,0,0,369.094,0,3,0.0677036,0,0.9513617,8.617,2.268,4.429,6.725,-0.911,1.695,1.25,-0.945,912.689,0.002,974.751,-2.925,9.416,-1.402,0,-1.435,3,79.599,0,39.219,39.706,2,0,0,0,0,0,5,-1.01
dopamine,0,1,0,0,0,5,0,-1,153.18,3.075,367.778,83.093,164.337,120.348,0,572.318,4,2.5,0.0165263,0.0135952,0.9064362,14.689,6.442,11.775,9.759,-0.309,0.403,0.041,-4.346,68.295,-0.673,30.084,-5.707,8.854,-0.093,5,-0.751,3,66.126,0,0,70.686,3,0,6,0,6,0,11,-0.98
guanine,3,0,0,0,0,1,0,-2,151.127,9.566,314.501,0,232.925,81.576,0,471.776,4,5.5,0.1939584,0.0349761,0.9318946,12.863,5.81,15.647,13.67,-1.47,-1.024,-0.734,-3.023,61.245,-1.285,24.172,-5.429,8.55,0.112,0,-0.748,2,47.167,0,0,110.37,6,0,9,0,9,0,11,-0.96
5-fluorouracil,6,0,0,0,0,0,0,-1,130.078,5.027,277.816,0,179.194,54.106,44.516,403.228,2,3.5,0.0626637,0.0178166,0.9501121,10.5,3.928,9.01,8.367,-0.595,-0.821,-0.924,-2.597,197.971,-0.651,150.631,-4.631,9.821,0.87,0,-0.744,3,58.325,44.516,0,86.791,4,0,6,0,6,0,9,-0.89
amitrole,7,0,0,0,0,1,0,-1,84.08,8.508,236.684,0,165.881,70.803,0,323.203,3,2.5,0.2239862,0.018295,0.9623071,6.815,3.668,10.583,8.534,-0.967,0.145,-0.307,-2.48,264.759,-0.691,117.63,-4.231,8.657,-0.714,0,-0.916,3,62.59,0,0,70.586,4,0,5,0,5,0,6,-0.87
morpholine,9,1,0,0,0,0,0,2,87.121,1.951,250.732,220.244,30.487,0,0,368.862,1,3.2,0.0103192,0.0127627,0.9920474,8.608,2.714,5.027,5.146,-0.329,1.052,0.898,-2.387,1269.665,0.755,708.444,-4.144,9.433,-2.724,1,-0.798,3,90.605,0,0,25.15,2,0,6,0,6,4,6,-0.86
methanol,12,0,0,0,0,0,0,0,32.042,2.04,177.656,112.648,65.008,0,0,215.121,1,1.7,0.0193462,0.009569,0.9773269,2.455,0.805,2.389,3.728,-0.455,0.751,-0.129,-1.899,2395.665,0.11,1271.934,-2.718,11.158,-3.411,1,-0.982,3,82.309,0,0,23.944,1,0,0,0,0,0,2,-0.77
N;N-dimethylacetamide,9,0,0,0,1,0,0,1,87.121,5.048,287.299,236.492,50.807,0,0,419.726,0,3,0.0607001,0,0.9436433,10.643,2.587,4.897,6.312,-0.405,1.073,0.902,-1.07,1715.029,0.183,1778.381,-2.456,9.33,-1.358,0,-1.288,3,85.721,0,35.154,31.598,2,0,0,0,0,0,6,-0.77
sulfolane,9,0,0,0,0,0,0,0,120.166,5.597,287.101,199.913,85.323,0,1.865,426.166,0,4,0.0734977,0,0.9539303,10.901,3.045,5.898,4.931,-0.456,0.429,-0.067,-2.277,1537.393,-0.057,806.231,-3.092,10.98,-0.423,0,-1.215,3,77.427,0,0,39.098,2,0,5,0,5,5,7,-0.77
enalaprilat;76420-72-9,0,1,0,2,1,8,0,-2,348.398,6.68,618.557,229.957,195.498,193.101,0,1124.975,3,8.5,0.0396646,0.0238013,0.8456958,35.575,12.099,21.31,16.3,-0.471,-2.158,-1.796,-0.686,1.55,-1.343,1.198,-5.737,9.698,-0.055,5,-0.895,1,43.512,0,19.565,127.174,7,0,11,0,11,4,25,-0.74
1;3;5-triazine,11,0,0,0,0,0,0,-1,81.077,0,240.851,0,86.657,154.193,0,333.794,0,4.5,0,0,0.9662052,8.677,3.2,4.66,6.369,-1.138,1.575,1.148,-2.814,1493.232,-0.055,763.064,-2.573,11.01,0.792,3,-1.617,3,86.955,0,0,38.976,3,0,6,0,6,0,6,-0.73
pyridazine,8,0,0,0,0,0,0,1,80.089,4.301,250.195,0,63.773,186.423,0,351.095,0,3,0.0526807,0,0.9619857,9.677,3.419,4.852,4.978,-0.098,0.612,0.433,-3.036,2461.19,0.104,1309.579,-2.038,10.169,0.666,2,-1.165,3,94.513,0,0,28.717,2,0,6,0,6,0,6,-0.72
isoniazid54-85-3,0,0,0,0,0,2,1,-1,137.141,3.431,330.738,0,164.177,166.561,0,500.271,3,4.5,0.0235358,0.0235662,0.9214772,14.173,5.901,11.52,11.15,-0.428,-0.954,-0.782,-3.597,274.796,-0.846,122.458,-3.767,9.904,0.753,1,-0.751,3,69.116,0,0,81.71,4,0,6,0,6,0,10,-0.7
PNU0141568,2,0,0,0,1,2,0,-2,319.295,15.604,558.892,179.364,176.22,171.154,32.154,959.276,1,8,0.2538344,0.014314,0.8416527,32.587,9.549,20.19,14.231,0.47,-2.618,-2.734,-3.536,132.297,-1.137,138.255,-3.972,9.548,1.228,0,-0.708,3,66.515,32.154,25.534,112.564,8,0,16,0,16,2,23,-0.7
18-crown-6tgttGttgttGttgttG,7,0,0,0,0,18,0,-2,264.318,0.001,536.607,536.607,0,0,0,934.787,0,10.2,0,0,0.8616221,19.698,6.916,10.141,7.086,-0.689,1.215,1.215,-3.771,9906.038,-3.397,5899.293,-3.266,10.287,-2.672,6,-2.161,3,100,0,0,50.58,6,0,0,0,0,0,18,-0.68
l-epinephrine,0,1,0,0,0,6,0,-1,183.207,1.795,403.042,149.205,143.886,109.951,0,652.059,4,4.7,0.0049404,0.0233226,0.9022759,17.139,7.037,13.507,11.58,-0.299,0.077,-0.129,-4.364,106.741,-0.578,48.75,-5.271,8.921,-0.136,4,-0.729,3,70.376,0,0,74.782,4,0,6,0,6,0,13,-0.6
succinicacidsyn-g-syn,6,0,0,2,0,3,0,-2,118.089,2.748,291.5,89.84,201.66,0,0,425.826,2,4,0.0177388,0.019406,0.9390333,8.961,4.119,7.808,8,0.022,-0.295,-0.65,1.096,7.776,-1.142,4.201,-4.948,11.393,-0.807,2,-1.193,2,29.698,0,0,99.493,4,0,0,0,0,0,8,-0.59
pteridine,3,0,0,0,0,0,0,0,132.124,2.919,310.108,0,100.778,209.33,0,466.554,0,4.5,0.0182626,0,0.9381077,14.517,4.884,7.057,7.007,-0.305,0.262,-0.117,-3.532,1097.036,-0.2,546.794,-2.639,10.089,1.787,4,-1.231,3,87.083,0,0,50.616,4,0,10,0,10,0,10,-0.58
1;3;5-triazinol,8,0,0,0,0,1,0,-1,97.076,1.803,258.889,0,142.186,116.704,0,365.285,1,3.5,0.0089013,0.0135193,0.9545643,8.937,3.779,5.947,6.794,-0.574,-0.078,-0.389,-2.824,444.175,-0.537,205.777,-3.633,10.874,0.958,4,-0.899,3,71.216,0,0,63.072,4,0,6,0,6,0,7,-0.58
moxalactam64952-97-2,2,0,0,2,1,10,1,-2,520.473,7.057,653.864,209.056,343.194,95.113,6.501,1323.728,2,12.7,0.037627,0.0274683,0.8916825,41.309,14.088,24.896,19.278,0.532,-1.51,-5.323,1.251,0.228,-2.901,0.162,-6.549,9.617,1.669,5,-1.183,1,1.761,0,23.903,235.828,15,2,19,4,15,3,36,-0.58
cefazolin25953-19-9,2,0,0,1,1,7,1,-2,454.496,10.89,721.924,226.071,329.732,57.701,108.42,1250.171,1.25,11.75,0.0948521,0.0181971,0.7774149,39.934,13.713,23.578,17.733,0.251,-3.616,-4.257,-2.227,1.217,-3.23,2.785,-6.721,9.771,2.014,4,-1.117,1,12.493,0,23.55,194.017,12,1,18,4,14,3,29,-0.58
methylamine,10,1,0,0,0,0,0,1,31.057,1.554,182.263,108.827,73.436,0,0,223.434,2,1,0.0108026,0.0077592,0.9770145,2.788,1.203,3.502,4.571,-1.025,2,1.3,-2.63,497.062,0.449,257.09,-4.936,9.34,-3.058,2,-1.034,3,80.284,0,0,28.283,1,0,0,0,0,0,2,-0.57
famotidine,3,0,1,0,0,10,0,-2,337.432,9.353,586.7,100.451,354.143,48.148,83.958,967.72,7,5.5,0.0903906,0.0248025,0.8064581,26.613,12.099,23.785,17.361,-0.143,-2.861,-2.32,-4.893,4.341,-3.463,3.988,-8.979,8.119,0.676,2,-0.687,1,15.902,0,0,185.585,9,1,5,0,5,0,20,-0.57
allopurinol,3,0,0,0,0,0,0,-1,136.113,6.001,298.142,0,186.904,111.238,0,444.257,2,4.5,0.0810553,0.0213454,0.9444193,12.687,5.076,10.465,9.826,-0.814,-0.841,-0.818,-2.962,167.297,-0.834,71.62,-4.572,9.351,0.989,1,-0.74,3,60.121,0,0,88.244,5,0,9,0,9,0,10,-0.55
Ac(Ala)3NHtBu,0,0,0,0,4,7,0,-2,328.411,10.433,701.099,550.093,151.006,0,0,1204.161,1.75,7.75,0.0903942,0.0146232,0.7807436,37.542,10.933,19.732,18.481,-0.047,-1.757,-1.067,0.418,58.681,-1.51,167.104,-3.63,9.376,-0.629,3,-1.233,3,61.643,0,99.926,136.186,8,0,0,0,0,0,23,-0.51
nitrofurantoin,0,0,0,0,0,4,0,-2,238.159,5.946,424.896,63.892,242.834,118.17,0,684.994,1,5,0.0516188,0.0117676,0.8844508,19.82,7.309,11.42,8.704,0.009,-1.774,-2.735,-3.965,49.33,-1.747,19.132,-5.195,9.579,1.688,1,-0.575,2,47.123,0,0,143.547,9,0,10,0,10,1,17,-0.47
1;4-dimethylpiperazinedieq,7,2,0,0,0,0,0,2,114.19,0.001,333.183,319.297,13.886,0,0,515.693,0,4,0,0,0.9334191,14.484,3.287,5.746,4.555,-0.439,2,2.495,-4.062,455.009,1.254,258.505,-5.901,9.288,-2.793,2,-0.955,3,94.594,0,0,12.543,2,0,6,0,6,4,8,-0.4
pyrimidine,8,0,0,0,0,0,0,1,80.089,2.432,249.554,0,56.583,192.97,0,349.748,0,3,0.0169172,0,0.9619907,9.686,3.398,4.34,4.972,-0.05,0.625,0.433,-3.067,2879.512,0.156,1551.741,-1.883,10.439,0.402,2,-1.169,3,96.658,0,0,25.726,2,0,6,0,6,0,6,-0.4
mitomycinC50-07-7,0,1,0,0,0,4,2,-2,334.331,6.664,529.611,256.965,259.021,13.625,0,946.309,4.5,9.25,0.0469339,0.0370502,0.8801637,29.279,10.055,22.005,17.668,-1.046,-1.436,-1.664,-4.262,8.64,-1.508,3.22,-7.924,8.789,1.543,3,-0.504,2,36.556,0,0,163.173,9,0,13,3,10,5,24,-0.4
ofloxacin82419-36-1,0,1,0,1,0,1,0,0,361.372,7.748,586.103,340.923,154.289,62.687,28.204,1062.935,0,7.25,0.0564761,0,0.8594007,36.341,9.475,16.758,9.536,-0.073,-2.933,-3.236,-3.025,21.542,-0.422,15.691,-6.109,8.832,1.04,1,-0.439,2,54.972,28.204,0,96.685,7,0,19,0,19,6,26,-0.39
dimethylamine,11,1,0,0,0,0,0,2,45.084,1.244,221.756,187.814,33.943,0,0,293.288,1,1.5,0.0052727,0.0067642,0.9626867,5.583,1.413,2.979,3.426,-0.284,1.311,1.197,-2.862,1177.397,0.718,652.964,-4.208,9.208,-2.953,1,-0.823,3,89.774,0,0,16.14,1,0,0,0,0,0,3,-0.38
9H-purine,5,0,0,0,0,0,0,-1,120.113,4.061,288.121,0,117.991,170.13,0,423.818,1,4,0.0389078,0.0138831,0.9470597,12.432,4.577,7.833,7.777,-0.189,-0.569,-0.638,-3.2,753.347,-0.314,364.247,-3.095,9.872,0.749,2,-0.804,3,80.443,0,0,54.974,4,0,9,0,9,0,9,-0.37
nicotinamide98-92-0,2,0,0,0,0,1,0,-1,122.126,6.727,305.469,0,138.908,166.561,0,456.441,2,4,0.0991382,0.0185186,0.9385427,13.061,5.196,10.382,9.181,-0.22,-0.797,-0.706,-3.321,477.131,-0.548,222.328,-3.397,10.072,0.648,1,-0.736,3,75.188,0,0,65.591,3,0,6,0,6,0,9,-0.37
Nitromethane,11,0,0,0,0,0,0,-1,61.04,4.724,211.806,100.214,111.592,0,0,273.208,0,2,0.0816795,0,0.9613637,4.78,1.454,2.953,2.958,-0.669,0.816,0.412,-2.157,866.309,-0.241,423.625,-3.576,12.17,0.164,0,-1.124,3,71.114,0,0,47.801,3,0,0,0,0,0,4,-0.35
acetonitrile,11,0,0,0,0,0,0,0,41.052,5.069,203.397,108.985,72.638,21.775,0,257.173,0,1.5,0.0999101,0,0.9615458,4.346,1.123,2.63,2.328,-0.235,-0.286,-0.339,-2.258,2028.045,0.04,1062.342,-2.782,12.399,-1.452,1,-1.037,3,81.866,0,0,25.787,1,0,0,0,0,0,3,-0.34
N-methylmorpholine109-02-4,10,1,0,0,0,0,0,2,101.148,1.332,281.572,274.831,6.741,0,0,430.069,0,3.7,0.0041254,0,0.9785919,11.057,2.833,4.477,4.087,-0.275,1.604,1.463,-2.605,2132.436,0.915,1240.811,-3.706,9.39,-2.647,2,-1.123,3,96.311,0,0,15.502,2,0,6,0,6,4,7,-0.33
2-ethoxyethanol,8,0,0,0,0,4,0,0,90.122,0.463,305.215,248.382,56.832,0,0,435.133,1,3.4,0.0004925,0.0111397,0.9098594,8.692,2.634,4.899,4.771,0.279,-0.282,-0.312,-2.991,2863.926,-0.135,1542.665,-2.183,10.57,-2.469,2,-0.9,3,84.274,0,0,31.426,2,0,0,0,0,0,6,-0.32
ethanol,11,0,0,0,0,1,0,1,46.069,1.978,214.913,158.307,56.606,0,0,279.633,1,1.7,0.0139943,0.0079102,0.9622649,4.395,1.39,2.874,3.54,-0.049,0.374,-0.036,-2.143,2878.07,0.096,1550.901,-2.467,10.915,-3.272,1,-0.909,3,84.328,0,0,23.051,1,0,0,0,0,0,3,-0.31
AcMetValNH2,0,0,0,0,3,8,0,-2,289.392,7.005,562.87,377.989,141.89,0,42.99,984.431,2.5,6.5,0.0498422,0.0182589,0.8502516,28.106,9.226,16.635,16.892,-0.083,-0.262,-1.224,0.168,88.521,-1.122,356.391,-3.366,9.184,0.036,2,-1.238,3,63.833,0,88.355,109.96,6,0,0,0,0,0,19,-0.28
1;4-dioxane,12,0,0,0,0,0,0,-1,88.106,0,229.439,229.439,0,0,0,343.401,0,3.4,0,0,1.0336309,7.589,2.565,3.082,3.62,-0.577,1.529,1.529,-0.988,9906.038,-0.903,5899.293,-3.183,10.463,-2.762,2,-1.295,3,100,0,0,18.673,2,0,6,0,6,4,6,-0.27
thioacetamide,8,0,0,0,0,0,0,1,75.128,6.685,238.502,91.84,69.565,0,77.096,324.523,2,2,0.1377027,0.0118591,0.957569,6.833,2.757,7.5,5.692,0.177,-0.408,-0.29,-2.219,2168.762,0.247,3020.573,-2.802,8.672,0.622,0,-0.83,3,81.214,0,0,35.378,1,0,0,0,0,0,4,-0.26
acetone,10,0,0,0,0,0,1,1,58.08,3.874,239.455,179.835,59.62,0,0,326.112,0,2,0.0460203,0,0.9568708,6.897,1.699,2.924,2.671,0.036,0.292,0.486,-2.23,2694.799,0.129,1444.435,-2.618,10.767,-0.743,0,-0.97,3,83.604,0,0,30.664,1,0,0,0,0,0,4,-0.24
